ranking,nodo,pagerank,in_degree,out_degree,hits_authority,hits_hub,betweenness,closeness,rol_principal,explicacion_rol,explicacion_completa
1,226411,0.023316,559,14,0.000073,0.000000,0.158414,0.345939,Multi-Rol,"Combina 3 roles: Autoridad, Puente, Propagador",PageRank 46.6x superior al promedio (excepcional). 559 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
2,114260,0.009946,52,1,-0.000000,-0.000000,0.000651,0.026013,Puente,"Alto betweenness (0.000651), conecta comunidades",PageRank 19.9x superior al promedio (excepcional). 52 enlaces entrantes (top 5%). Principalmente página de referencia (hub > authority).
3,29878,0.008486,1,52,-0.000000,0.000000,0.000651,0.013133,Puente,"Alto betweenness (0.000651), conecta comunidades",PageRank 17.0x superior al promedio (excepcional). Principalmente página de referencia (hub > authority).
4,161890,0.008307,71,37,0.000002,0.000001,0.080093,0.238465,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 16.6x superior al promedio (excepcional). 71 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
5,145892,0.008184,51,15,0.000002,0.000001,0.019655,0.237109,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 16.4x superior al promedio (excepcional). 51 enlaces entrantes (top 5%). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
6,112742,0.007856,51,14,0.000002,0.000001,0.035270,0.236735,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 15.7x superior al promedio (excepcional). 51 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
7,151428,0.007743,51,11,0.000002,0.000000,0.008440,0.237334,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 15.5x superior al promedio (excepcional). 51 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
8,60440,0.007715,50,12,0.000002,0.000001,0.019086,0.236661,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 15.4x superior al promedio (excepcional). 50 enlaces entrantes (top 5%). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
9,222873,0.007708,49,12,0.000002,0.000000,0.006854,0.236586,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 15.4x superior al promedio (excepcional). 49 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
10,208542,0.007671,51,11,0.000002,0.000001,0.004292,0.236735,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 15.3x superior al promedio (excepcional). 51 enlaces entrantes (top 5%). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
11,91,0.007608,49,10,0.000002,0.000000,0.000082,0.236586,Propagador,"Alta closeness (0.236586), alcance rápido",PageRank 15.2x superior al promedio (excepcional). 49 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Alta capacidad de propagación rápida.
12,96358,0.007553,50,9,0.000002,0.000000,0.000024,0.236661,Propagador,"Alta closeness (0.236661), alcance rápido",PageRank 15.1x superior al promedio (excepcional). 50 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Alta capacidad de propagación rápida.
13,118244,0.006288,22,14,0.000001,0.000000,0.000443,0.234590,Propagador,"Alta closeness (0.234590), alcance rápido",PageRank 12.6x superior al promedio (excepcional). Alta capacidad de propagación rápida.
14,89073,0.005046,28,8,0.000000,0.000000,0.000294,0.013721,Estándar,Métricas en rango promedio (PageRank: 0.005046),PageRank 10.1x superior al promedio (excepcional). Principalmente página de referencia (hub > authority).
15,65463,0.004886,60,4,0.000638,0.000273,0.057525,0.158373,Multi-Rol,"Combina 3 roles: Autoridad, Puente, Propagador",PageRank 9.8x superior al promedio (muy alto). 60 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
16,241454,0.004699,34,9,0.000000,0.000000,0.000386,0.017061,Estándar,Métricas en rango promedio (PageRank: 0.004699),PageRank 9.4x superior al promedio (muy alto). Principalmente página de referencia (hub > authority).
17,185472,0.004502,44,13,0.000001,0.000000,0.011611,0.237861,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 9.0x superior al promedio (muy alto). 44 enlaces entrantes (top 10%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
18,251990,0.004146,180,9,0.000007,0.000001,0.006636,0.162910,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 8.3x superior al promedio (muy alto). 180 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
19,105607,0.004092,56,12,0.000001,0.000000,0.010424,0.188378,Multi-Rol,"Combina 2 roles: Puente, Propagador",PageRank 8.2x superior al promedio (muy alto). 56 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
20,84906,0.003895,163,19,0.019012,0.000929,0.067115,0.133101,Multi-Rol,"Combina 3 roles: Autoridad, Puente, Propagador",PageRank 7.8x superior al promedio (muy alto). 163 enlaces entrantes (top 5%). Principalmente destino de navegación (authority > hub). Nodo puente crítico (top 5% betweenness). Alta capacidad de propagación rápida.
